,,січ.-19,,,,,,,,,,,,
"Month
Місяць",Id_airport,Airport name (Назва аеропорту),Passengers(Пасажиропотік),"Air Transport
Movements( Рейси)",Cancelled movements (Скасовані рейси),"Total Air Transport
Movements Excluding
Cancelled(Загальний рух повітряного транспорту, крім скасованих)",International Terminal Passenger Traffic(Пасажиропотік міжнародних терміналів),Domestic Terminal Passenger Traffic(Пасажиропотік внутрішніх терміналів),Між_план,Між_чартер,Внутр_план,Внутр_чартер,Дохід,Прибуток
January,1,Heathrow,80 223 000,38 059,348,37 711,5 601 157,326 068,5 600 008,1 149,326 068,0,"£316 262 000,0","£38 360 000,0"
January,2,Gatwick,46 187 000,19 519,55,19 464,2 687 194,266 321,2 524 087,163 107,266 122,199,"£70 506 000,0","£9 783 000,0"
January,3,Manchester,28 373 000,13 344,205,13 139,1 597 368,185 107,1 476 291,121 077,184 954,153,"£69 306 000,0","£18 021 000,0"
January,4,Stansted,28 124 000,13 972,38,13 934,1 777 403,152 663,1 761 006,16 397,152 663,0,"£28 600 000,0","£10 501 000,0"
January,5,Luton,16 889 000,7 946,29,7 917,1 079 244,77 115,1 071 069,8 175,77 115,0,"£16 096,0","£4 083,0"
January,6,Edinburgh,14 374 000,8 701,51,8 650,525 825,393 656,511 755,14 070,393 656,0,"£18 130 000,0","£8 555 000,0"
January,7,Birgmingham,12 489 000,7 224,49,7 175,686 537,94 670,627 491,59 046,94 523,147,"£12 500 000,0","£1 900 000,0"
January,8,Bristol,8 731 000,4 532,0,4 532,423 554,96 873,382 633,354 982,96 873,0,"£8 660 000,0","£2 100 000,0"
January,9,Glasgow,9 599 000,5 472,74,5 398,241 569,284 445,227 612,13 957,284 445,0,"£15 006 000,0","£3 008 000,0"
January,10,Belfast International,6 310 000,3 524,3,3 521,110 639,295 596,101 502,9 137,295 086,210,"£5 004,0","£2 501,0"
January,11,Newcastle,5 324 000,2 546,60,2 486,192 200,81 116,191 775,425,80 827,289,"£2 703 000,0","£703 000,0"
January,12,Liverpool,5 037 000,2 543,3,2 540,24 549,70 973,245 218,241,70 384,589,"£2 917 000,0","£1 302 000,0"
January,13,East Midlands International,4 876 000,3 746,26,3 720,188 503,26 552,170 018,18 485,26 522,0,"£3 500 000,0","£780 000,0"
January,14,Aberdeen,3 042 000,N/A,255,N/A,89 364,114 983,51 876,37 488,107 542,7441,"£4 686 000,0","£1 398 000,0"
January,15,Belfast City( George best),2 509 000,2 600,17,2 583,3 748,158 265,3 050,698,158 265,0,"£1 759 000,0","£685 000,0"
January,16,Southerd,1 487 000,886,7,879,72 034,750,74 959,125,750,0,"£1 998 000,0","£603 000,0"
January,17,Southampton,1 982 000,2 439,132,2 307,42 168,78 034,41 265,903,77 877,157,"£2 870 000,0","£1 395 000,0"
January,18,Cardiff Wales,1 582 000,958,8,950,57 105,15 995,41 520,15 585,15 619,376,"£1 900 000,0","£6 200,0"
January,19,Doncaster Sheffield,1 221 000,514,2,512,67 363,2 449,51 980,15 383,2 449,0,"£1 100 000,0","£96 000,0"
January,20,Exeter,934 000,935,5,930,27 479,26 909,16 300,11 179,26 909,0,"£3 766 000,0","£625 000,0"
January,21,Bournemouth,679 000,250,0,250,35 721,148,26 035,9 686,0,148,"£4 646 000,0","£123 800,0"
January,22,Norwich,536 000,1 406,0,1 406,20 089,8 027,11 256,8 833,8 027,0,"£1 400 000,0","£555 000,0"
January,23,Newquay,460 000,380,7,373,4 022,19 394,3 706,316,19 394,0,"£900 000,0","£300 000,0"
January,24,Humberside,192 000,657,121,536,11 610,1 801,9 710,1 900,1 801,0,"£812 000,0","£38 000,0"
February,1,Heathrow,80 314 000,35 347,357,34 990,5 161 427,320 861,5 159 613,1 814,320 861,0,"£229 190 000,0","£31 940 000,0"
February,2,Gatwick,46 306 000,19 947,100,19 847,2 824 620,273 904,2 661 297,163 323,273 904,307,"£66 037 000,0","£7 886 000,0"
February,3,Manchester,28 494 000,13 210,116,13 094,1 606 635,192 005,1 489 268,117 367,192 005,279,"£71 411 000,0","£19 033 000,0"
February,4,Stansted,28 266 000,13 823,18,13 805,1 716 304,157 426,81 233,22 731,157 426,0,"£28 699 000,0","£10 620 000,0"
February,5,Luton,17 028 000,9 767,6,9 761,1 108 710,82 687,1 099 574,9 136,82 687,286,"£16 509,0","£4 191,0"
February,6,Edinburgh,14 469 000,N/A,76,N/A,535 806,402 897,518 846,16 960,402 897,0,"£18 390 000,0","£8 787 000,0"
February,7,Birmingham,12 517 000,7 532,59,7 473,691 382,100 359,635 020,56 362,100 359,0,"£12 720 000,0","£2 111 000,0"
February,8,Bristol,8 737 000,4 062,0,4 062,424 989,97 933,381 638,43 351,97 933,175,"£8 998 000,0","£2 611 000,0"
February,9,Glasgow,9 565 000,6 101,72,6 029,239 908,293 373,227 395,12 513,293 373,0,"£15 263 000,0","£3 218 000,0"
February,10,Belfast International,6 374 000,4 337,8,4 329,111 478,333 814,100 710,10 768,333 814,824,"£5 112,0","£2 552,0"
February,11,Newcastle,5 318 000,3 181,74,3 107,199 207,82 938,198 948,259,82 938,148,"£2 692 000,0","£698 000,0"
February,12,Liverpool,5 041 000,4 790,10,4 780,258 878,80 161,257 370,1 508,80 161,318,"£2 970 000,0","£1 386 000,0"
February,13,East Midlands International,4 873 000,4 968,49,4 919,185 484,27 854,163 941,21 543,27 854,0,"£3 568 000,0","£798 000,0"
February,14,Aberdeen,3 025 000,6 665,216,6 449,87 131,103 283,52 763,34 368,103 283,6 239,"£46 989 000,0","£1 406 000,0"
February,15,Belfast City( George best),2 509 000,2 550,23,2 527,3 628,170 077,3 029,599,170 077,0,"£1 768 000,0","£693 000,0"
February,16,Southerd,1 490 000,1 900,29,1 871,81 233,214,81 233,0,214,0,"£2 000 000,0","£605 000,0"
February,17,Southampton,1 971 000,2 601,178,2 423,44 813,78 914,43 848,965,78 914,85,"£2 760 000,0","£1 380 000,0"
February,18,Cardiff Wales,1 582 000,2 299,17,2 282,61 161,16 412,44 164,16 997,16 412,337,"£1 898 000,0","£6 099,0"
February,19,Doncaster Sheffield,1 227 000,1 537,2,1 535,65 018,3 011,49 967,15 051,3 011,19,"£1 115 000,0","£99 000,0"
February,20,Exeter,939 000,2 987,6,2 981,30 476,30 803,19 532,10 944,30 803,0,"£3 683 000,0","£608 000,0"
February,21,Bournemouth,682 000,2 501,0,2 501,34 169,74,24 810,9 359,74,31,"£4 701 000,0","£1 280 000,0"
February,22,Norwich,539 000,2 591,N/A,N/A,22 118,8 808,13 109,9 009,8 808,45,"£1 430 000,0","£567 000,0"
February,23,Newquay,463 000,2 799,10,2 789,4 193,20 114,4 193,0,20 114,0,"£902 000,0","£303 000,0"
February,24,Humberside,194 000,1 571,58,1 513,12 544,1 766,10 222,2 322,1 766,0,"£820 000,0","£39 000,0"
March,1,Heathrow,80 349 000,40 027,225,39 802,6 136 165,391 105,6 135 457,708,391 083,22,"£232 222 000,0","£31 818 000,0"
March,2,Gatwick,46 454 000,22 682,125,22 557,3 322 650,301 211,3 135 747,186 903,301 081,130,"£65 008 000,0","£6 997 000,0"
March,3,Manchester,28 565 000,15 118,110,15 008,1 849 766,212 289,1 718 694,131 072,212 018,271,"£70 359 000,0","£19 008 000,0"
March,4,Stansted,28 383 000,15 501,28,15 473,1 938 836,167 106,1 917 530,21 306,167 106,0,"£29 123 000,0","£10 933 000,0"
March,5,Luton,17 155 000,10 875,6,10 869,1 263 253,88 964,1 253 382,9 871,88 964,0,"£17 113,0","£4 282,0"
March,6,Edinburgh,14 611 000,10 091,48,10 043,647 093,458 549,629 041,18 052,457 614,935,"£18 986 000,0","£8 799 000,0"
March,7,Birmingham,12 540 000,8 560,141,8 419,789 971,112 518,728 443,61 528,112 387,131,"£13 008 000,0","£2 360 000,0"
March,8,Bristol,8 804 000,4 352,0,4 352,503 417,118 941,451 479,51 938,118 941,0,"£9 089 000,0","£2 097 000,0"
March,9,Glasgow,9 547 000,6 957,86,6 871,308 603,338 154,291 770,16 833,338 154,0,"£15 383 000,0","£3 400 000,0"
March,10,Belfast International,6 412 000,4 815,4,4 811,131 250,356 638,117 598,13 652,356 540,98,"£5 233,0","£2 603,0"
March,11,Newcastle,5 314 000,3 585,58,3 527,240 398,97 414,240 398,0,97 414,0,"£2 711 000,0","£710 000,0"
March,12,Liverpool,5 037 000,4 714,5,4 709,293 629,89 008,292 563,1 066,88 715,293,"£3 102 000,0","£1 399 000,0"
March,13,East Midlands International,4 853 000,5 264,74,5 190,223 337,30 832,203 236,20 101,30 832,0,"£3 607 000,0","£802 000,0"
March,14,Aberdeen,3 007 000,7 387,199,7 188,100 102,124 603,62 423,37 679,118 077,6 526,"£4 703 000,0","£149 800,0"
March,15,Belfast City( George best),2 509 000,2 890,19,2 871,3 744,190 828,3 482,262,190 828,0,"£1 798 000,0","£709 000,0"
March,16,Southerd,1 497 000,2 178,17,2 161,98 529,575,98 529,0,575,0,"£2 090 000,0","£610 000,0"
March,17,Southampton,1 967 000,2 995,156,2 839,51 407,91 975,50 398,1 009,91 935,40,"£2 698 000,0","£1 323 000,0"
March,18,Cardiff Wales,1 585 000,2 173,34,2 139,76 978,22 077,55 345,21 633,20 858,1 219,"£1 800 000,0","£5 873,0"
March,19,Doncaster Sheffield,1 225 000,1 660,5,1 655,75 913,3 541,54 969,20 944,3 541,0,"£1 156 000,0","£1 000 000,0"
March,20,Exeter,950 000,3 033,11,3 022,33 584,34 717,22 642,10 942,34 580,137,"£3 678 000,0","£605 000,0"
March,21,Bournemouth,681 000,2 988,0,2 988,38 734,685,28 813,9 921,174,511,"£4 754 000,0","£1 296 000,0"
March,22,Norwich,539 000,2 787,N/A,N/A,25 299,9 859,15 933,9 366,9 752,107,"£1 442 000,0","£573 000,0"
March,23,Newquay,467 000,3 067,11,3 056,5 140,22 941,4 842,298,22 941,0,"£908 000,0","£306 000,0"
March,24,Humberside,196 000,1 535,52,1 483,13 488,1 986,11 429,2 059,1 887,99,"£856 000,0","£41 000,0"
April,1,Heathrow,80 565 000,40 415,152,40 263,6 376 032,422 174,6 375 933,99,422 174,0,"£126 306 000,0","£24 107 000,0"
April,2,Gatwick,46 566 000,23 725,94,23 631,3 559 805,295 118,3 402 293,157 512,294 952,166,"£63 703 000,0","£6 933 000,0"
April,3,Manchester,28 754 000,15 972,141,15 831,2 173 368,213 683,2 040 360,133 008,212 816,867,"£70 568 000,0","£19 097 000,0"
April,4,Stansted,28 408 000,15 529,26,15 503,2 228 076,161 301,2 209 426,18 650,161 301,0,"£30 200 000,0","£11 122 000,0"
April,5,Luton,17 305 000,9 731,14,9 717,1 444 378,110 078,1 430 185,14 193,110 078,0,"£17 670,0","£4 338,0"
April,6,Edinburgh,14 663 000,10 939,86,10 853,789 244,468 164,777 091,12 153,468 164,0,"£19 001 000,0","£9 013 000,0"
April,7,Birmingham,12 581 000,8 327,67,8 260,892 188,111 511,814 267,77 921,111 328,183,"£13 128 000,0","£2 388 000,0"
April,8,Bristol,8 816 000,5 016,0,5 016,602 155,112 734,532 880,69 275,112 734,0,"£9 133 000,0","£2 486 000,0"
April,9,Glasgow,9 441 000,6 391,74,6 317,362 941,328 863,343 664,19 277,328 863,0,"£15 455 000,0","£3 522 000,0"
April,10,Belfast International,6 455 000,3 866,1,3 865,190 669,351 497,177 405,13 264,351 318,179,"£5 599,0","£2 783,0"
April,11,Newcastle,5 305 000,3 165,35,3 130,294 045,98 868,294 045,0,98 868,0,"£2 755 000,0","£755 000,0"
April,12,Liverpool,5 042 000,2 981,3,2 978,364 705,78 668,361 878,2 827,78 243,425,"£3 234 000,0","£1 411 000,0"
April,13,East Midlands International,4 841 000,4 540,23,4 517,357 439,36 199,335 968,21 471,36 199,0,"£3 689 000,0","£832 000,0"
April,14,Aberdeen,2 993 000,6 736,260,6 476,114 108,125 707,73 553,40 555,119 214,6 493,"£4 758 000,0","£1 508 000,0"
April,15,Belfast City( George best),2 516 000,3 035,40,2 995,10 924,200 126,10 921,3,200 125,1,"£1 803 000,0","£716 000,0"
April,16,Southerd,1 571 000,1 546,11,1 535,180 751,6 599,180 751,0,6 599,0,"£2 100 000,0","£659 000,0"
April,17,Southampton,1 946 000,2 694,97,2 597,54 751,92 458,54 123,628,92 295,163,"£2 155 000,0","£677 000,0"
April,18,Cardiff Wales,1 606 000,1 384,0,1 384,104 501,21 773,72 028,32 473,21 340,433,"£2 701 000,0","£1 356 000,0"
April,19,Doncaster Sheffield,1 232 000,779,4,775,93 866,7 256,71 422,224 444,7 256,0,"£1 877 000,0","£6 001,0"
April,20,Exeter,960 000,1 289,7,1 282,45 759,39 231,31 523,14 236,39 231,0,"£1 158 000,0","£103 000,0"
April,21,Bournemouth,686 000,435,0,435,68 920,159,58 239,10 681,14,14,"£3 680 000,0","£609 000,0"
April,22,Norwich,542 000,1 063,0,1 063,27 526,10 628,18 559,8 967,10 511,117,"£1 458 000,0","£580 000,0"
April,23,Newquay,468 000,726,11,715,8 928,30 613,8 928,0,30 613,0,"£922 000,0","£315 000,0"
April,24,Humberside,198 000,580,26,554,13 760,2 091,11 762,1 998,1 965,126,"£818 000,0","£38 000,0"
May,1,Heathrow,80 657 000,41 811,234,41 577,6 329 953,438 950,6 324 299,5 654,438 950,0,"£130 760 000,0","£26 944 000,0"
May,2,Gatwick,46 641 000,25 849,172,25 677,3 865 627,311 539,3 636 033,229 594,311 335,204,"£65 081 000,0","£7 361 000,0"
May,3,Manchester,28 901 000,18 037,255,17 782,2 421 741,215 725,2 192 709,229 032,215 271,454,"£72 701 000,0","£20 873 000,0"
May,4,Stansted,28 460 000,16 970,82,16 888,2 403 080,165 363,2 365 661,37 419,165 363,0,"£31 400 000,0","£11 938 000,0"
May,5,Luton,17 445 000,10 305,68,10 237,1 545 117,113 716,1 518 616,26 501,113 407,309,"£18 098,0","£4 599,0"
May,6,Edinburgh,14 719 000,11 878,94,11 784,884 052,495 969,867 897,16 155,495 969,0,"£19 233 000,0","£9 088 000,0"
May,7,Birmingham,12 614 000,9 621,79,9 542,1 045 542,119 889,895 649,149 893,119 544,345,"£13 450 000,0","£2 401 000,0"
May,8,Bristol,8 833 000,5 799,28,5 771,729 682,120 799,652 758,76 924,120 378,421,"£9 386 000,0","£2 513 000,0"
May,9,Glasgow,9 367 000,7 425,93,7 332,496 129,358 819,449 584,46 545,358 630,189,"£15 806 000,0","£3 768 000,0"
